,Title,Country,Location,Year,Total_Floors,Apart_Floors,Apart_Rooms,Total_Area,Price,Continent,C-Code,Price_category,Time_Period
21245,"3 room apartment 60 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,5,3,60,163239.0,Asia,3,Middle price,2010on
21246,"1 room apartment 34 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,14,12,1,34,105521.0,Asia,3,Middle price,2010on
21247,"2 room apartment 40 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,11,2,40,123408.0,Asia,3,Middle price,2010on
21248,"2 room apartment 37 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,6,2,37,114472.0,Asia,3,Middle price,2010on
21249,"3 room apartment 62 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,13,3,62,161747.0,Asia,3,Middle price,2010on
21250,"3 room apartment 74 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,15,3,74,192108.0,Asia,3,Middle price,2010on
21251,"2 room apartment 59 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,3,2,59,148847.0,Asia,3,Middle price,2010on
21252,"2 room apartment 56 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,2,2,56,161126.0,Asia,3,Middle price,2010on
21253,"3 room apartment 61 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,12,3,61,171737.0,Asia,3,Middle price,2010on
21254,"2 room apartment 68 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2023,16,2,2,68,195739.0,Asia,3,Middle price,2010on
21255,"2 room apartment 40 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,4,2,40,121441.0,Asia,3,Middle price,2010on
21256,"2 room apartment 37 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,6,2,37,121032.0,Asia,3,Middle price,2010on
21257,"3 room apartment 61 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,15,3,61,176106.0,Asia,3,Middle price,2010on
21258,"2 room apartment 59 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,9,2,59,175083.0,Asia,3,Middle price,2010on
21259,"3 room apartment 76 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,2,3,76,173680.0,Asia,3,Middle price,2010on
21260,"3 room apartment 64 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,11,3,64,165175.0,Asia,3,Middle price,2010on
21262,"2 room apartment 49 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2022,18,7,2,49,128904.0,Asia,3,Middle price,2010on
21263,"3 room apartment 59 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,5,3,59,142771.0,Asia,3,Middle price,2010on
21264,"2 room apartment 40 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,12,2,40,143240.0,Asia,3,Middle price,2010on
21265,"2 room apartment 59 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,7,2,59,151926.0,Asia,3,Middle price,2010on
21266,"2 room apartment 55 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,8,2,55,170047.0,Asia,3,Middle price,2010on
21268,"2 room apartment 41 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,15,2,41,151912.0,Asia,3,Middle price,2010on
21269,"2 room apartment 52 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,5,2,52,175849.0,Asia,3,Middle price,2010on
21270,"2 room apartment 51 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,7,2,51,137773.0,Asia,3,Middle price,2010on
21271,"2 room apartment 54 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,12,6,2,54,153326.0,Asia,3,Middle price,2010on
21272,"2 room apartment 37 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,8,2,37,117020.0,Asia,3,Middle price,2010on
21273,"5 room apartment 123 m² in Saint Petersburg, Russia",Russia,"Northwestern Federal District, Saint Petersburg, Centralnyy rayon, Russia",1881,6,2,5,123,202264.0,Asia,3,Middle price,1850-1900
21274,"4 room apartment 62 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,15,4,62,177040.0,Asia,3,Middle price,2010on
21275,"4 room apartment 85 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2024,21,2,4,85,198282.0,Asia,3,Middle price,2010on
21276,"2 room apartment 60 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,2,2,60,147457.0,Asia,3,Middle price,2010on
21277,"3 room apartment 65 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,2,3,65,180024.0,Asia,3,Middle price,2010on
21278,"4 room apartment 62 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,12,4,62,176098.0,Asia,3,Middle price,2010on
21279,"1 room apartment 63 m² in Kaliningrad, Russia",Russia,"Northwestern Federal District, Kaliningrad, Russia",2021,8,7,1,63,200748.0,Asia,3,Middle price,2010on
21280,"2 room apartment 54 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,9,9,2,54,139481.0,Asia,3,Middle price,2010on
21281,"3 room apartment 73 m² in dachnogo hozyaystva Arhangelskoe, Russia",Russia,"dachnogo hozyaystva Arhangelskoe, Central Federal District, Krasnogorsky District, Russia",2024,8,1,3,73,166025.0,Asia,3,Middle price,2010on
21282,"2 room apartment 61 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2015,16,16,2,61,166032.0,Asia,3,Middle price,2010on
21283,"1 room apartment 38 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2020,21,20,1,38,172920.0,Asia,3,Middle price,2010on
21284,"2 room apartment 52 m² in poselenie Voskresenskoe, Russia",Russia,"Central Federal District, poselenie Voskresenskoe, Novomoskovsky Administrative Okrug, Russia",2019,15,11,2,52,146720.0,Asia,3,Middle price,2010on
21285,"4 room apartment 73 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,3,4,73,166247.0,Asia,3,Middle price,2010on
21288,"2 room apartment 38 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,9,6,2,38,138798.0,Asia,3,Middle price,2010on
21289,"4 room apartment 73 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,13,4,73,167753.0,Asia,3,Middle price,2010on
21290,"4 room apartment 62 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,15,4,62,160289.0,Asia,3,Middle price,2010on
21291,"2 room apartment 40 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,12,2,40,139579.0,Asia,3,Middle price,2010on
21292,"2 room apartment 52 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,14,2,52,147404.0,Asia,3,Middle price,2010on
21293,"3 room apartment 60 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2022,14,13,3,60,178983.0,Asia,3,Middle price,2010on
21294,"4 room apartment 73 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,12,4,73,172257.0,Asia,3,Middle price,2010on
21295,"1 room apartment 62 m² in Kaliningrad, Russia",Russia,"Northwestern Federal District, Kaliningrad, Russia",2022,7,4,1,62,157200.0,Asia,3,Middle price,2010on
21296,"3 room apartment 59 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,12,3,59,155247.0,Asia,3,Middle price,2010on
21297,"2 room apartment 50 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,6,2,50,134402.0,Asia,3,Middle price,2010on
21298,"4 room apartment 73 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,15,4,73,169302.0,Asia,3,Middle price,2010on
21299,"5 room apartment 82 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",1960,3,1,5,82,162136.0,Asia,3,Middle price,1950-2000
21300,"3 room apartment 63 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,8,3,63,157982.0,Asia,3,Middle price,2010on
21301,"3 room apartment 53 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,14,3,53,155340.0,Asia,3,Middle price,2010on
21302,"2 room apartment 41 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,12,2,2,41,128047.0,Asia,3,Middle price,2010on
21303,"2 room apartment 62 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,2,2,62,156332.0,Asia,3,Middle price,2010on
21304,"2 room apartment 75 m² in Kaliningrad, Russia",Russia,"Northwestern Federal District, Kaliningrad, Russia",2023,14,2,2,75,159720.0,Asia,3,Middle price,2010on
21305,"3 room apartment 61 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,14,3,61,172432.0,Asia,3,Middle price,2010on
21306,"2 room apartment 51 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,12,2,51,161666.0,Asia,3,Middle price,2010on
21307,"3 room apartment 57 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,9,2,3,57,158928.0,Asia,3,Middle price,2010on
21308,"4 room apartment 62 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,12,4,62,156970.0,Asia,3,Middle price,2010on
21309,"2 room apartment 59 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,8,2,59,152530.0,Asia,3,Middle price,2010on
21310,"2 room apartment 54 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,2,2,54,166485.0,Asia,3,Middle price,2010on
21311,"3 room apartment 60 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,6,3,60,153732.0,Asia,3,Middle price,2010on
21312,"2 room apartment 51 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,4,2,51,162049.0,Asia,3,Middle price,2010on
21313,"3 room apartment 64 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,4,3,64,158039.0,Asia,3,Middle price,2010on
21314,"3 room apartment 60 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,12,3,3,60,161275.0,Asia,3,Middle price,2010on
21315,"3 room apartment 62 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,2,3,62,168502.0,Asia,3,Middle price,2010on
21316,"3 room apartment 61 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,12,10,3,61,159717.0,Asia,3,Middle price,2010on
21317,"4 room apartment 65 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,9,9,4,65,152128.0,Asia,3,Middle price,2010on
21318,"3 room apartment 62 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,2,3,62,163296.0,Asia,3,Middle price,2010on
21319,"3 room apartment 56 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2023,15,14,3,56,180522.0,Asia,3,Middle price,2010on
21320,"2 room apartment 57 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,9,2,2,57,157605.0,Asia,3,Middle price,2010on
21321,"2 room apartment 54 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,6,2,54,164772.0,Asia,3,Middle price,2010on
21322,"1 room apartment 34 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,15,1,34,132496.0,Asia,3,Middle price,2010on
21324,"3 room apartment 61 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,6,3,61,166203.0,Asia,3,Middle price,2010on
21325,"3 room apartment 59 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,9,3,59,144446.0,Asia,3,Middle price,2010on
21326,"3 room apartment 83 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,2,3,83,210586.0,Asia,3,Middle price,2010on
21327,"3 room apartment 84 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2023,15,15,3,84,219392.0,Asia,3,Middle price,2010on
21328,"3 room apartment 76 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,15,3,76,174588.0,Asia,3,Middle price,2010on
21329,"4 room apartment 73 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,12,4,73,166979.0,Asia,3,Middle price,2010on
21330,"2 room apartment 59 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,10,2,59,171988.0,Asia,3,Middle price,2010on
21331,"2 room apartment 53 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,7,2,53,157585.0,Asia,3,Middle price,2010on
21332,"4 room apartment 85 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,2,4,85,211894.0,Asia,3,Middle price,2010on
21333,"2 room apartment 57 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,9,2,2,57,134580.0,Asia,3,Middle price,2010on
21334,"2 room apartment 91 m² in Moskovskiy, Russia",Russia,"Moskovskiy, Central Federal District, Novomoskovsky Administrative Okrug, Russia",2013,24,3,2,91,171767.0,Asia,3,Middle price,2010on
21335,"4 room apartment 62 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,9,4,62,175710.0,Asia,3,Middle price,2010on
21336,"2 room apartment 83 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,2,2,83,189040.0,Asia,3,Middle price,2010on
21337,"3 room apartment 60 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2023,14,2,3,60,158864.0,Asia,3,Middle price,2010on
21338,"4 room apartment 72 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,15,4,72,179374.0,Asia,3,Middle price,2010on
21339,"2 room apartment 90 m² in Kaliningrad, Russia",Russia,"Northwestern Federal District, Kaliningrad, Russia",2023,14,3,2,90,166526.0,Asia,3,Middle price,2010on
21340,"4 room apartment 79 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,7,4,79,183090.0,Asia,3,Middle price,2010on
21341,"2 room apartment 80 m² in Kaliningrad, Russia",Russia,"Northwestern Federal District, Kaliningrad, Russia",2023,10,3,2,80,170625.0,Asia,3,Middle price,2010on
21342,"4 room apartment 72 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,16,12,4,72,165644.0,Asia,3,Middle price,2010on
21343,"4 room apartment 64 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,12,6,4,64,158735.0,Asia,3,Middle price,2010on
21344,"3 room apartment 60 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,9,7,3,60,146488.0,Asia,3,Middle price,2010on
21346,"4 room apartment 88 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2024,15,2,4,88,212506.0,Asia,3,Middle price,2010on
21390,"3 room apartment 63 m² in Ukmerge, Lithuania",Lithuania,"Ukmerge, Vilnius County, Ukmerges rajono savivaldybe, Lithuania",1984,5,5,3,63,51086.0,Europe,5,Low price,1950-2000
21391,"2 room apartment 40 m² in Kaunas, Lithuania",Lithuania,"Kaunas County, Kaunas, Kauno miesto savivaldybe, Lithuania",1922,2,2,2,40,85867.0,Europe,5,Low price,1900-1950
21392,"5 room apartment 97 m² in Kaunas, Lithuania",Lithuania,"Kaunas County, Kaunas, Kauno miesto savivaldybe, Lithuania",1975,5,4,5,97,230320.0,Europe,5,Middle price,1950-2000
21393,"3 room apartment 77 m² in Uzliedziai, Lithuania",Lithuania,"Uzliedziai, Kaunas County, Kaunas District Municipality, Lithuania",2018,3,2,3,77,128258.0,Europe,5,Middle price,2010on
21394,"4 room apartment 79 m² in Kaunas, Lithuania",Lithuania,"Kaunas County, Kaunas, Kauno miesto savivaldybe, Lithuania",1980,5,5,4,79,113041.0,Europe,5,Middle price,1950-2000
21395,"2 room apartment 49 m² in Kaunas, Lithuania",Lithuania,"Kaunas County, Kaunas, Kauno miesto savivaldybe, Lithuania",2023,4,2,2,49,117267.0,Europe,5,Middle price,2010on
21396,"1 room apartment 29 m² in Rokantiskes, Lithuania",Lithuania,"Rokantiskes, Vilnius County, Vilniaus rajono savivaldybe, Lithuania",1940,1,1,1,29,24456.0,Europe,5,Low price,1900-1950
21397,"2 room apartment 52 m² in Kazliskiai, Lithuania",Lithuania,"Kazliskiai, Kaunas County, Kaunas District Municipality, Lithuania",1995,5,5,2,52,75976.0,Europe,5,Low price,1950-2000
21398,"1 room apartment 29 m² in Klaipeda, Lithuania",Lithuania,"Klaipeda County, Klaipeda, Klaipėda City Municipality, Lithuania",2023,4,1,1,29,59238.0,Europe,5,Low price,2010on
21399,"2 room apartment 36 m² in Klaipeda, Lithuania",Lithuania,"Klaipeda County, Klaipeda, Klaipėda City Municipality, Lithuania",2023,4,3,2,36,72824.0,Europe,5,Low price,2010on
21400,"1 room apartment 27 m² in Klaipeda, Lithuania",Lithuania,"Klaipeda County, Klaipeda, Klaipėda City Municipality, Lithuania",2023,4,2,1,27,47825.0,Europe,5,Low price,2010on
21401,"2 room apartment 29 m² in Vilnius, Lithuania",Lithuania,"Vilnius County, Vilnius, Vilnius city municipality, Lithuania",1981,9,8,2,29,107606.0,Europe,5,Middle price,1950-2000
21402,"2 room apartment 45 m² in Panevėžys, Lithuania",Lithuania,"Panevezys County, Panevėžys, Panevezio miesto savivaldybe, Lithuania",1970,5,4,2,45,48912.0,Europe,5,Low price,1950-2000
21403,"1 room apartment 34 m² in Šiauliai, Lithuania",Lithuania,"Siauliai County, Šiauliai, Siauliu miesto savivaldybe, Lithuania",1984,5,5,1,34,47825.0,Europe,5,Low price,1950-2000
21404,"2 room apartment 61 m² in Klaipeda, Lithuania",Lithuania,"Klaipeda County, Klaipeda, Klaipėda City Municipality, Lithuania",2007,9,3,2,61,151083.0,Europe,5,Middle price,2000-2010
21405,"1 room apartment 33 m² in Vilnius, Lithuania",Lithuania,"Vilnius County, Vilnius, Vilnius city municipality, Lithuania",2009,3,2,1,33,152072.0,Europe,5,Middle price,2000-2010
21406,"1 room apartment 29 m² in Kaunas, Lithuania",Lithuania,"Kaunas County, Kaunas, Kauno miesto savivaldybe, Lithuania",1964,5,5,1,29,49890.0,Europe,5,Low price,1950-2000
21407,"1 room apartment 30 m² in Druskininkai, Lithuania",Lithuania,"Druskininkai, Alytus County, Druskininku savivaldybe, Lithuania",1971,5,2,1,30,54346.0,Europe,5,Low price,1950-2000
21408,"3 room apartment 70 m² in Vilnius, Lithuania",Lithuania,"Vilnius County, Vilnius, Vilnius city municipality, Lithuania",1940,4,1,3,70,228255.0,Europe,5,Middle price,1900-1950
21409,"2 room apartment 92 m² in Birstonas, Lithuania",Lithuania,"Kaunas County, Birstonas, Birštonas Municipality, Lithuania",2012,4,2,2,92,217277.0,Europe,5,Middle price,2010on
21410,"3 room apartment 74 m² in Mazeikiai, Lithuania",Lithuania,"Mazeikiai, Telsiai County, Mazeikiu rajono savivaldybe, Lithuania",1993,9,9,3,74,79346.0,Europe,5,Low price,1950-2000
21411,"2 room apartment 67 m² in Vilnius, Lithuania",Lithuania,"Vilnius County, Vilnius, Vilnius city municipality, Lithuania",2016,2,1,2,67,118475.0,Europe,5,Middle price,2010on
21412,"3 room apartment 65 m² in Vilnius, Lithuania",Lithuania,"Vilnius County, Vilnius, Vilnius city municipality, Lithuania",1972,5,3,3,65,134236.0,Europe,5,Middle price,1950-2000
21413,"1 room apartment 34 m² in Alytus, Lithuania",Lithuania,"Alytus, Alytus County, Alytaus miesto savivaldybe, Lithuania",1974,5,3,1,34,27173.0,Europe,5,Low price,1950-2000
21414,"4 room apartment 77 m² in Vieciunai, Lithuania",Lithuania,"Vieciunai, Alytus County, Druskininku savivaldybe, Lithuania",1983,5,4,4,77,70649.0,Europe,5,Low price,1950-2000
21415,"3 room apartment 58 m² in Vilnius, Lithuania",Lithuania,"Vilnius County, Vilnius, Vilnius city municipality, Lithuania",1978,1,1,3,58,59781.0,Europe,5,Low price,1950-2000
21416,"2 room apartment 43 m² in Klaipeda, Lithuania",Lithuania,"Klaipeda County, Klaipeda, Klaipėda City Municipality, Lithuania",2023,4,4,2,43,77715.0,Europe,5,Low price,2010on
21417,"1 room apartment 27 m² in Kaunas, Lithuania",Lithuania,"Kaunas County, Kaunas, Kauno miesto savivaldybe, Lithuania",1965,9,5,1,27,47716.0,Europe,5,Low price,1950-2000
21418,"2 room apartment 52 m² in Alytus, Lithuania",Lithuania,"Alytus, Alytus County, Alytaus miesto savivaldybe, Lithuania",1974,5,5,2,52,49238.0,Europe,5,Low price,1950-2000
21419,"2 room apartment 47 m² in Vilnius, Lithuania",Lithuania,"Vilnius County, Vilnius, Vilnius city municipality, Lithuania",1973,5,4,2,47,108693.0,Europe,5,Middle price,1950-2000
21420,"1 room apartment 27 m² in Klaipeda, Lithuania",Lithuania,"Klaipeda County, Klaipeda, Klaipėda City Municipality, Lithuania",2023,4,2,1,27,47633.0,Europe,5,Low price,2010on
21421,"1 room apartment 33 m² in Vilnius, Lithuania",Lithuania,"Vilnius County, Vilnius, Vilnius city municipality, Lithuania",2009,3,2,1,33,151462.0,Europe,5,Middle price,2000-2010
21422,"3 room apartment 37 m² in Palanga, Lithuania",Lithuania,"Palanga, Klaipeda County, Palangos miesto savivaldybe, Lithuania",2017,2,2,3,37,135866.0,Europe,5,Middle price,2010on
21423,"2 room apartment 51 m² in Taurage, Lithuania",Lithuania,"Taurage, Taurage County, Taurages rajono savivaldybe, Lithuania",1983,9,7,2,51,56520.0,Europe,5,Low price,1950-2000
21424,"4 room apartment 128 m² in Giraite, Lithuania",Lithuania,"Giraite, Kaunas County, Kaunas District Municipality, Lithuania",2016,2,1,4,128,223907.0,Europe,5,Middle price,2010on
21425,"1 room apartment 33 m² in Vilnius, Lithuania",Lithuania,"Vilnius County, Vilnius, Vilnius city municipality, Lithuania",1972,5,3,1,33,116193.0,Europe,5,Middle price,1950-2000
21426,"2 room apartment 39 m² in Vilnius, Lithuania",Lithuania,"Vilnius County, Vilnius, Vilnius city municipality, Lithuania",2017,5,1,2,39,140214.0,Europe,5,Middle price,2010on
