,Title,Country,Location,Year,Total_Floors,Apart_Floors,Apart_Rooms,Total_Area,Price,Continent,C-Code,Price_category,Time_Period
27482,"4 room apartment 81 m² in Lyasny, Belarus",Belarus,"Lyasny, Minsk Region, Baraulianski sielski Saviet, Minsk District, Belarus",1989,9,1,4,81,82000.0,Europe,5,Low price,1950-2000
27483,"1 room apartment 37 m² in Vítebsk, Belarus",Belarus,"Vitsebsk Region, Vítebsk, Belarus",1979,9,2,1,37,26200.0,Europe,5,Low price,1950-2000
27484,"1 room apartment 45 m² in Minsk, Belarus",Belarus,"Minsk, Belarus",2013,13,2,1,45,79900.0,Europe,5,Low price,2010on
27485,"3 room apartment 72 m² in Minsk, Belarus",Belarus,"Minsk, Belarus",2021,25,14,3,72,76200.0,Europe,5,Low price,2010on
27487,"3 room apartment 68 m² in Praudzinski, Belarus",Belarus,"Praudzinski, Minsk Region, Pukhavichy District, Belarus",1972,3,3,3,68,17750.0,Europe,5,Low price,1950-2000
27488,"2 room apartment 52 m² in Slonim, Belarus",Belarus,"Slonim, Hrodna Region, Slonim District, Belarus",1993,5,5,2,52,24000.0,Europe,5,Low price,1950-2000
27489,"2 room apartment 52 m² in Brest, Belarus",Belarus,"Brest Region, Brest, Belarus",1989,5,5,2,52,30000.0,Europe,5,Low price,1950-2000
27490,"2 room apartment 49 m² in Lida, Belarus",Belarus,"Hrodna Region, Lida, Lida District, Belarus",1972,5,4,2,49,27500.0,Europe,5,Low price,1950-2000
27491,"2 room apartment 49 m² in Orsha, Belarus",Belarus,"Vitsebsk Region, Orsha, Orsha District, Belarus",1953,3,1,2,49,29000.0,Europe,5,Low price,1950-2000
27492,"2 room apartment 42 m² in Aliachnovicy, Belarus",Belarus,"Aliachnovicy, Minsk Region, Aliachnovicki sielski Saviet, Maladzyechna District, Belarus",1977,5,4,2,42,25900.0,Europe,5,Low price,1950-2000
27493,"1 room apartment 34 m² in Kobryn, Belarus",Belarus,"Kobryn, Brest Region, Kobryn District, Belarus",1973,5,4,1,34,22900.0,Europe,5,Low price,1950-2000
27494,"1 room apartment 42 m² in Uzda, Belarus",Belarus,"Uzda, Minsk Region, Uzda District, Belarus",1993,4,3,1,42,23500.0,Europe,5,Low price,1950-2000
27495,"2 room apartment 41 m² in Homel, Belarus",Belarus,"Homel Region, Homel, Belarus",1959,4,1,2,41,31000.0,Europe,5,Low price,1950-2000
27496,"2 room apartment 51 m² in Uzda, Belarus",Belarus,"Uzda, Minsk Region, Uzda District, Belarus",1965,2,1,2,51,29000.0,Europe,5,Low price,1950-2000
27497,"1 room apartment 28 m² in Brest, Belarus",Belarus,"Brest Region, Brest, Belarus",1954,4,1,1,28,27500.0,Europe,5,Low price,1950-2000
27498,"1 room apartment 28 m² in Minsk District, Belarus",Belarus,"Minsk Region, Minsk District, Belarus",2021,5,2,1,28,28479.0,Europe,5,Low price,2010on
27499,"3 room apartment 57 m² in Homel, Belarus",Belarus,"Homel Region, Homel, Belarus",1964,5,1,3,57,28000.0,Europe,5,Low price,1950-2000
27500,"2 room apartment 50 m² in Uzda, Belarus",Belarus,"Uzda, Minsk Region, Uzda District, Belarus",1984,2,2,2,50,26600.0,Europe,5,Low price,1950-2000
27501,"1 room apartment 37 m² in Brest, Belarus",Belarus,"Brest Region, Brest, Belarus",1980,5,5,1,37,25750.0,Europe,5,Low price,1950-2000
27502,"3 room apartment 73 m² in Abiarouscyna, Belarus",Belarus,"Abiarouscyna, Brest Region, Rasnianski sielski Saviet, Kamenets District, Belarus",1961,2,2,3,73,15500.0,Europe,5,Low price,1950-2000
27505,"2 room apartment 42 m² in Malaryta, Belarus",Belarus,"Malaryta, Brest Region, Malaryta District, Belarus",1975,5,5,2,42,16000.0,Europe,5,Low price,1950-2000
27506,"2 room apartment 51 m² in Smarhon, Belarus",Belarus,"Smarhon, Hrodna Region, Smarhon' District, Belarus",1982,5,3,2,51,28500.0,Europe,5,Low price,1950-2000
27507,"4 room apartment 58 m² in Hrodna, Belarus",Belarus,"Hrodna Region, Hrodna, Belarus",1971,5,1,4,58,13900.0,Europe,5,Low price,1950-2000
27509,"2 room apartment 42 m² in Slonim, Belarus",Belarus,"Slonim, Hrodna Region, Slonim District, Belarus",1964,4,1,2,42,16800.0,Europe,5,Low price,1950-2000
