,title,country,location,building_construction_year,building_total_floors,apartment_floor,apartment_rooms,apartment_total_area,price_in_USD,Continent
63326,"4 room apartment 67 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,21.0,10.0,4.0,67.0,156008.0,Asia
63327,"3 room apartment 68 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,18.0,16.0,3.0,68.0,157973.0,Asia
63332,"5 room apartment 160 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2026,16.0,16.0,5.0,160.0,834156.0,Asia
63338,"3 room apartment 65 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,14.0,5.0,3.0,65.0,140239.0,Asia
63339,"3 room apartment 66 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,10.0,3.0,66.0,195931.0,Asia
63340,"2 room apartment 55 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,14.0,14.0,2.0,55.0,149458.0,Asia
63341,"2 room apartment 50 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,19.0,16.0,2.0,50.0,120464.0,Asia
63342,"2 room apartment 50 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,19.0,11.0,2.0,50.0,117599.0,Asia
63343,"1 room apartment 34 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,24.0,16.0,1.0,34.0,107130.0,Asia
63344,"3 room apartment 76 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2026,16.0,13.0,3.0,76.0,388626.0,Asia
63348,"3 room apartment 60 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,17.0,3.0,60.0,151528.0,Asia
63351,"3 room apartment 72 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2025,30.0,10.0,3.0,72.0,168562.0,Asia
