,title,country,location,building_construction_year,building_total_floors,apartment_floor,apartment_rooms,apartment_total_area,price_in_USD,Continent
93002,"3 room villa 230 m² in Rojales, Spain",Spain,"Rojales, Valencian Community, el Baix Segura La Vega Baja del Segura, Provincia de Alacant/Alicante, Spain",2025,,,,230.0,1010843.0,Europe
93025,"4 room villa 258 m² in Rojales, Spain",Spain,"Rojales, Valencian Community, el Baix Segura La Vega Baja del Segura, Provincia de Alacant/Alicante, Spain",2025,,,,258.0,1124971.0,Europe
93190,"4 room villa 184 m² in Benahavis, Spain",Spain,"Benahavis, Andalusia, Malaga, Spain",2025,,,,184.0,2282549.0,Europe
93210,"3 room villa 295 m² in Benahavis, Spain",Spain,"Benahavis, Andalusia, Malaga, Spain",2025,,,,295.0,2499935.0,Europe
93588,"4 room villa 680 m² in Benahavis, Spain",Spain,"Benahavis, Andalusia, Malaga, Spain",2026,3.0,,,680.0,3918376.0,Europe
93687,"2 room apartment 73 m² in Rincon de la Victoria, Spain",Spain,"Rincon de la Victoria, Andalusia, Malaga, Spain",2025,3.0,,3.0,73.0,434771.0,Europe
93722,"3 room apartment 90 m² in Manilva, Spain",Spain,"Manilva, Andalusia, Malaga, Spain",2025,3.0,,4.0,90.0,369556.0,Europe
93736,"Penthouse 1 bedroom 99 m² in Benalmadena, Spain",Spain,"Benalmadena, Andalusia, Malaga, Spain",2025,4.0,,2.0,99.0,354339.0,Europe
93756,"Penthouse 2 bedrooms 81 m² in Manilva, Spain",Spain,"Manilva, Andalusia, Malaga, Spain",2025,4.0,,3.0,81.0,407598.0,Europe
93788,"2 room apartment 68 m² in Los Alcazares, Spain",Spain,"Los Alcazares, Region of Murcia, Spain",2025,,,3.0,68.0,235863.0,Europe
93883,"1 room apartment 119 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,3.0,,2.0,119.0,282601.0,Europe
93886,"3 room apartment 110 m² in Benalmadena, Spain",Spain,"Benalmadena, Andalusia, Malaga, Spain",2025,,1.0,,110.0,518797.0,Europe
93892,"3 room apartment 106 m² in Mijas, Spain",Spain,"Mijas, Andalusia, Malaga, Spain",2025,3.0,,4.0,106.0,374990.0,Europe
93936,"Penthouse 3 bedrooms 245 m² in els Poblets, Spain",Spain,"els Poblets, Valencian Community, Provincia de Alacant/Alicante, Spain",2025,4.0,4.0,4.0,245.0,510856.0,Europe
93972,"2 room apartment 76 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,4.0,,3.0,76.0,344556.0,Europe
93978,"2 room apartment 92 m² in Marbella, Spain",Spain,"Andalusia, Marbella, Malaga, Spain",2025,3.0,,3.0,92.0,440206.0,Europe
94031,"3 room apartment 138 m² in Manilva, Spain",Spain,"Manilva, Andalusia, Malaga, Spain",2026,3.0,,4.0,138.0,617375.0,Europe
94106,"Penthouse 2 bedrooms 72 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,3.0,,3.0,72.0,407598.0,Europe
94164,"4 room apartment 113 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,5.0,,5.0,113.0,646722.0,Europe
94219,"Penthouse 3 bedrooms 105 m² in Benalmadena, Spain",Spain,"Benalmadena, Andalusia, Malaga, Spain",2025,4.0,,4.0,105.0,620636.0,Europe
94225,"1 room apartment 63 m² in Torremolinos, Spain",Spain,"Torremolinos, Andalusia, Malaga, Spain",2025,6.0,,2.0,63.0,445641.0,Europe
94241,"3 room apartment 88 m² in Benalmadena, Spain",Spain,"Benalmadena, Andalusia, Malaga, Spain",2025,4.0,,4.0,88.0,494552.0,Europe
94319,"3 room apartment 100 m² in Fuengirola, Spain",Spain,"Fuengirola, Andalusia, Malaga, Spain",2025,3.0,,4.0,100.0,494552.0,Europe
94330,"Penthouse 3 bedrooms 117 m² in Fuengirola, Spain",Spain,"Fuengirola, Andalusia, Malaga, Spain",2025,3.0,,4.0,117.0,684765.0,Europe
94376,"3 room apartment 111 m² in Mijas, Spain",Spain,"Mijas, Andalusia, Malaga, Spain",2025,5.0,,4.0,111.0,435858.0,Europe
94389,"3 room apartment 99 m² in Torre del Mar, Spain",Spain,"Torre del Mar, Velez-Malaga, Andalusia, Malaga, Spain",2025,3.0,1.0,4.0,99.0,373903.0,Europe
94463,"3 room apartment 125 m² in Mijas, Spain",Spain,"Mijas, Andalusia, Malaga, Spain",2025,,,4.0,125.0,409772.0,Europe
94504,"1 room apartment 78 m² in Benidorm, Spain",Spain,"Benidorm, Valencian Community, Provincia de Alacant/Alicante, Spain",2025,30.0,,2.0,78.0,436945.0,Europe
94557,"Penthouse 2 bedrooms 107 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2026,3.0,,3.0,107.0,554333.0,Europe
94650,"3 room apartment 118 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,2.0,,4.0,118.0,474988.0,Europe
94685,"2 room apartment 108 m² in Benidorm, Spain",Spain,"Benidorm, Valencian Community, Provincia de Alacant/Alicante, Spain",2025,30.0,1.0,3.0,108.0,576072.0,Europe
94691,"3 room apartment 130 m² in Benalmadena, Spain",Spain,"Benalmadena, Andalusia, Malaga, Spain",2025,3.0,,4.0,130.0,538029.0,Europe
94695,"Duplex 3 bedrooms 191 m² in Malaga, Spain",Spain,"Andalusia, Malaga, Spain",2025,3.0,2.0,,191.0,1690173.0,Europe
94726,"3 room apartment 124 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2026,3.0,,4.0,124.0,409772.0,Europe
94747,"2 room apartment 91 m² in Marbella, Spain",Spain,"Andalusia, Marbella, Malaga, Spain",2025,3.0,,3.0,91.0,429337.0,Europe
94772,"3 room apartment 100 m² in Mijas, Spain",Spain,"Mijas, Andalusia, Malaga, Spain",2025,,,4.0,100.0,498900.0,Europe
94778,"3 room apartment 102 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,4.0,,4.0,102.0,414120.0,Europe
94783,"Penthouse 2 bedrooms 145 m² in Fuengirola, Spain",Spain,"Fuengirola, Andalusia, Malaga, Spain",2025,4.0,,3.0,145.0,434771.0,Europe
94829,"4 room apartment 135 m² in Alicante, Spain",Spain,"Valencian Community, Alicante, Provincia de Alacant/Alicante, Spain",2025,8.0,,4.0,135.0,407598.0,Europe
94880,"3 room house 204 m² in Mijas, Spain",Spain,"Mijas, Andalusia, Malaga, Spain",2025,,,,204.0,1304314.0,Europe
94921,"3 room apartment 95 m² in Alicante, Spain",Spain,"Valencian Community, Alicante, Provincia de Alacant/Alicante, Spain",2025,4.0,3.0,4.0,95.0,307601.0,Europe
94970,"3 room apartment 99 m² in Benalmadena, Spain",Spain,"Benalmadena, Andalusia, Malaga, Spain",2025,4.0,,4.0,99.0,499987.0,Europe
95029,"2 room apartment 90 m² in Fuengirola, Spain",Spain,"Fuengirola, Andalusia, Malaga, Spain",2025,4.0,1.0,3.0,90.0,646722.0,Europe
95097,"2 room apartment 90 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,4.0,,3.0,90.0,379338.0,Europe
95109,"Bungalow 4 bedrooms 341 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,2.0,,,341.0,1516265.0,Europe
95162,"4 room house 228 m² in Fuengirola, Spain",Spain,"Fuengirola, Andalusia, Malaga, Spain",2025,3.0,,,228.0,1657565.0,Europe
95219,"3 room apartment 89 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,3.0,,4.0,89.0,416293.0,Europe
95231,"Townhouse 4 bedrooms 178 m² in Fuengirola, Spain",Spain,"Fuengirola, Andalusia, Malaga, Spain",2025,4.0,,,178.0,1413007.0,Europe
95404,"2 room apartment 94 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,3.0,,3.0,94.0,455423.0,Europe
95405,"2 room apartment 97 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,3.0,,3.0,97.0,536943.0,Europe
95499,"3 room apartment 96 m² in Rincon de la Victoria, Spain",Spain,"Rincon de la Victoria, Andalusia, Malaga, Spain",2026,3.0,,4.0,96.0,524986.0,Europe
95503,"2 room apartment 96 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,4.0,,3.0,96.0,494552.0,Europe
95539,"2 room apartment 79 m² in Benalmadena, Spain",Spain,"Benalmadena, Andalusia, Malaga, Spain",2025,,,,79.0,552552.0,Europe
95543,"2 room apartment 68 m² in Rincon de la Victoria, Spain",Spain,"Rincon de la Victoria, Andalusia, Malaga, Spain",2025,3.0,,3.0,68.0,429337.0,Europe
95555,"2 room apartment 89 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,4.0,,3.0,89.0,408685.0,Europe
95620,"4 room apartment 132 m² in Rincon de la Victoria, Spain",Spain,"Rincon de la Victoria, Andalusia, Malaga, Spain",2026,3.0,,5.0,132.0,679330.0,Europe
95626,"3 room apartment 83 m² in Rincon de la Victoria, Spain",Spain,"Rincon de la Victoria, Andalusia, Malaga, Spain",2025,3.0,,4.0,83.0,554333.0,Europe
95678,"Penthouse 3 bedrooms 206 m² in Fuengirola, Spain",Spain,"Fuengirola, Andalusia, Malaga, Spain",2025,4.0,,4.0,206.0,499987.0,Europe
95679,"Penthouse 3 bedrooms 89 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,3.0,,4.0,89.0,554333.0,Europe
95680,"Penthouse 2 bedrooms 70 m² in Benalmadena, Spain",Spain,"Benalmadena, Andalusia, Malaga, Spain",2025,5.0,,3.0,70.0,570637.0,Europe
95691,"3 room apartment 86 m² in Mijas, Spain",Spain,"Mijas, Andalusia, Malaga, Spain",2026,4.0,1.0,4.0,86.0,370643.0,Europe
95735,"4 room apartment 108 m² in Benalmadena, Spain",Spain,"Benalmadena, Andalusia, Malaga, Spain",2025,4.0,,5.0,108.0,565203.0,Europe
95770,"Penthouse 2 bedrooms 80 m² in Mijas, Spain",Spain,"Mijas, Andalusia, Malaga, Spain",2025,5.0,,3.0,80.0,644548.0,Europe
95826,"2 room apartment 111 m² in Manilva, Spain",Spain,"Manilva, Andalusia, Malaga, Spain",2026,3.0,,3.0,111.0,527160.0,Europe
95870,"2 room apartment 108 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,3.0,,3.0,108.0,547812.0,Europe
95883,"2 room apartment 79 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,5.0,,3.0,79.0,474988.0,Europe
95908,"2 room house 240 m² in Fuengirola, Spain",Spain,"Fuengirola, Andalusia, Malaga, Spain",2025,3.0,,,240.0,605419.0,Europe
95927,"Penthouse 2 bedrooms 83 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,4.0,,3.0,83.0,553246.0,Europe
95974,"3 room apartment 112 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,3.0,,4.0,112.0,568463.0,Europe
95986,"2 room apartment 84 m² in Benalmadena, Spain",Spain,"Benalmadena, Andalusia, Malaga, Spain",2025,4.0,,3.0,84.0,538029.0,Europe
96012,"1 room apartment 85 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,3.0,,2.0,85.0,298905.0,Europe
96031,"3 room townhouse 130 m² in Ojen, Spain",Spain,"Ojen, Andalusia, Malaga, Spain",2025,2.0,,,130.0,748894.0,Europe
96103,"2 room apartment 75 m² in Mijas, Spain",Spain,"Mijas, Andalusia, Malaga, Spain",2026,4.0,,3.0,75.0,363034.0,Europe
96219,"2 room apartment 90 m² in Mijas, Spain",Spain,"Mijas, Andalusia, Malaga, Spain",2025,,,3.0,90.0,354339.0,Europe
96271,"Penthouse 2 bedrooms 81 m² in Rincon de la Victoria, Spain",Spain,"Rincon de la Victoria, Andalusia, Malaga, Spain",2026,3.0,,3.0,81.0,438032.0,Europe
96463,"3 room apartment 112 m² in Torre Pacheco, Spain",Spain,"Torre Pacheco, Region of Murcia, Spain",2025,,,4.0,112.0,205429.0,Europe
96510,"3 room apartment 85 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2026,3.0,,4.0,85.0,317383.0,Europe
96519,"3 room apartment 128 m² in els Poblets, Spain",Spain,"els Poblets, Valencian Community, Provincia de Alacant/Alicante, Spain",2025,4.0,2.0,4.0,128.0,290210.0,Europe
96580,"2 room apartment 69 m² in Castell-Platja d Aro, Spain",Spain,"Castell-Platja d Aro, Catalonia, Lower Empordà, Girones, Spain",2025,3.0,2.0,3.0,69.0,347817.0,Europe
96767,"3 room apartment 89 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,3.0,,4.0,89.0,389120.0,Europe
96894,"3 room apartment 93 m² in Torre del Mar, Spain",Spain,"Torre del Mar, Velez-Malaga, Andalusia, Malaga, Spain",2025,3.0,1.0,4.0,93.0,327165.0,Europe
96897,"3 room apartment 123 m² in Benalmadena, Spain",Spain,"Benalmadena, Andalusia, Malaga, Spain",2025,4.0,,4.0,123.0,373903.0,Europe
96951,"3 room apartment 87 m² in Mijas, Spain",Spain,"Mijas, Andalusia, Malaga, Spain",2026,4.0,,4.0,87.0,419554.0,Europe
97018,"3 room villa 241 m² in Rojales, Spain",Spain,"Rojales, Valencian Community, el Baix Segura La Vega Baja del Segura, Provincia de Alacant/Alicante, Spain",2025,,,,241.0,899977.0,Europe
97058,"3 room apartment 119 m² in Fuengirola, Spain",Spain,"Fuengirola, Andalusia, Malaga, Spain",2025,4.0,,4.0,119.0,380425.0,Europe
97100,"1 room apartment 52 m² in els Poblets, Spain",Spain,"els Poblets, Valencian Community, Provincia de Alacant/Alicante, Spain",2025,4.0,2.0,2.0,52.0,174995.0,Europe
97104,"2 room apartment 78 m² in Benalmadena, Spain",Spain,"Benalmadena, Andalusia, Malaga, Spain",2025,4.0,,3.0,78.0,429337.0,Europe
97286,"Penthouse 3 bedrooms 84 m² in Manilva, Spain",Spain,"Manilva, Andalusia, Malaga, Spain",2025,3.0,,4.0,84.0,447814.0,Europe
97529,"2 room apartment 98 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2026,3.0,,3.0,98.0,347817.0,Europe
97589,"2 room apartment 81 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,4.0,,3.0,81.0,320644.0,Europe
97714,"1 room apartment 62 m² in Mijas, Spain",Spain,"Mijas, Andalusia, Malaga, Spain",2025,5.0,,2.0,62.0,317383.0,Europe
97715,"2 room apartment 78 m² in Mijas, Spain",Spain,"Mijas, Andalusia, Malaga, Spain",2025,5.0,,3.0,78.0,361947.0,Europe
97826,"1 room apartment 92 m² in els Poblets, Spain",Spain,"els Poblets, Valencian Community, Provincia de Alacant/Alicante, Spain",2025,4.0,1.0,2.0,92.0,184778.0,Europe
97933,"2 room apartment 70 m² in Mijas, Spain",Spain,"Mijas, Andalusia, Malaga, Spain",2026,4.0,1.0,3.0,70.0,339122.0,Europe
97986,"3 room house 186 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,2.0,,,186.0,733677.0,Europe
98073,"3 room apartment 85 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2026,3.0,,4.0,85.0,298905.0,Europe
98084,"2 room apartment 106 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,3.0,,3.0,106.0,319557.0,Europe
98186,"2 room apartment 68 m² in Los Alcazares, Spain",Spain,"Los Alcazares, Region of Murcia, Spain",2025,,,3.0,68.0,227168.0,Europe
98270,"3 room villa 270 m² in Torre Pacheco, Spain",Spain,"Torre Pacheco, Region of Murcia, Spain",2025,,,,270.0,576072.0,Europe
98360,"Penthouse 2 bedrooms 80 m² in Torre Pacheco, Spain",Spain,"Torre Pacheco, Region of Murcia, Spain",2025,,,3.0,80.0,198908.0,Europe
98410,"Townhouse 2 bedrooms 154 m² in Mijas, Spain",Spain,"Mijas, Andalusia, Malaga, Spain",2025,3.0,,,154.0,516291.0,Europe
98533,"3 room villa 182 m² in Murcia, Spain",Spain,"Region of Murcia, Murcia, Spain",2025,,,,182.0,429337.0,Europe
98587,"2 room apartment 82 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,4.0,,3.0,82.0,344556.0,Europe
98629,"1 room apartment 78 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,3.0,,2.0,78.0,273906.0,Europe
98662,"2 room apartment 90 m² in Alicante, Spain",Spain,"Valencian Community, Alicante, Provincia de Alacant/Alicante, Spain",2025,8.0,,3.0,90.0,272819.0,Europe
98674,"2 room apartment 142 m² in els Poblets, Spain",Spain,"els Poblets, Valencian Community, Provincia de Alacant/Alicante, Spain",2025,4.0,1.0,3.0,142.0,293471.0,Europe
98684,"Penthouse 3 bedrooms 93 m² in Los Alcazares, Spain",Spain,"Los Alcazares, Region of Murcia, Spain",2025,,,4.0,93.0,346730.0,Europe
98692,"2 room apartment 92 m² in Mijas, Spain",Spain,"Mijas, Andalusia, Malaga, Spain",2025,3.0,,3.0,92.0,369556.0,Europe
98771,"2 room apartment 74 m² in Finestrat, Spain",Spain,"Finestrat, Valencian Community, Provincia de Alacant/Alicante, Spain",2025,,1.0,,74.0,273116.0,Europe
98773,"1 room apartment 80 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,3.0,,2.0,80.0,318470.0,Europe
98862,"2 room apartment 75 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,3.0,,3.0,75.0,329339.0,Europe
98864,"2 room apartment 92 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,,,,92.0,298421.0,Europe
98867,"2 room apartment 68 m² in Alicante, Spain",Spain,"Valencian Community, Alicante, Provincia de Alacant/Alicante, Spain",2025,4.0,3.0,3.0,68.0,242385.0,Europe
98945,"4 room house 124 m² in Malaga, Spain",Spain,"Andalusia, Malaga, Spain",2026,2.0,2.0,,124.0,447814.0,Europe
98966,"Penthouse 2 bedrooms 66 m² in Manilva, Spain",Spain,"Manilva, Andalusia, Malaga, Spain",2025,3.0,,3.0,66.0,343469.0,Europe
99115,"2 room apartment 118 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,3.0,,3.0,118.0,353252.0,Europe
99161,"3 room townhouse 121 m² in Manilva, Spain",Spain,"Manilva, Andalusia, Malaga, Spain",2025,2.0,,,121.0,351078.0,Europe
99260,"3 room apartment 89 m² in Manilva, Spain",Spain,"Manilva, Andalusia, Malaga, Spain",2025,3.0,,4.0,89.0,347817.0,Europe
99312,"3 room apartment 87 m² in Sant Joan d Alacant, Spain",Spain,"Sant Joan d Alacant, Valencian Community, Provincia de Alacant/Alicante, Spain",2025,,1.0,,87.0,341326.0,Europe
99347,"2 room apartment 84 m² in Alicante, Spain",Spain,"Valencian Community, Alicante, Provincia de Alacant/Alicante, Spain",2025,4.0,1.0,3.0,84.0,324992.0,Europe
99577,"4 room apartment 116 m² in Benalmadena, Spain",Spain,"Benalmadena, Andalusia, Malaga, Spain",2025,6.0,,5.0,116.0,379338.0,Europe
99672,"2 room apartment 100 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,3.0,,3.0,100.0,381512.0,Europe
99684,"Penthouse 2 bedrooms 85 m² in Benalmadena, Spain",Spain,"Benalmadena, Andalusia, Malaga, Spain",2025,4.0,,3.0,85.0,522812.0,Europe
99768,"2 room apartment 138 m² in Benidorm, Spain",Spain,"Benidorm, Valencian Community, Provincia de Alacant/Alicante, Spain",2026,44.0,24.0,3.0,138.0,918454.0,Europe
99851,"4 room apartment 178 m² in Antequera, Spain",Spain,"Antequera, Andalusia, Malaga, Spain",2025,2.0,,5.0,178.0,1195621.0,Europe
99890,"Penthouse 3 bedrooms 172 m² in Torre del Mar, Spain",Spain,"Torre del Mar, Velez-Malaga, Andalusia, Malaga, Spain",2026,5.0,,4.0,172.0,347817.0,Europe
99974,"Penthouse 3 bedrooms 112 m² in Fuengirola, Spain",Spain,"Fuengirola, Andalusia, Malaga, Spain",2025,3.0,,4.0,112.0,1249967.0,Europe
99979,"Penthouse 3 bedrooms 151 m² in Manilva, Spain",Spain,"Manilva, Andalusia, Malaga, Spain",2026,3.0,,4.0,151.0,1092363.0,Europe
99991,"Penthouse 3 bedrooms 140 m² in Antequera, Spain",Spain,"Antequera, Andalusia, Malaga, Spain",2025,2.0,,4.0,140.0,1239098.0,Europe
100128,"3 room apartment 94 m² in Benalmadena, Spain",Spain,"Benalmadena, Andalusia, Malaga, Spain",2025,6.0,,4.0,94.0,323905.0,Europe
100203,"3 room apartment 114 m² in Fuengirola, Spain",Spain,"Fuengirola, Andalusia, Malaga, Spain",2025,3.0,,4.0,114.0,1804301.0,Europe
100204,"2 room apartment 250 m² in Marbella, Spain",Spain,"Andalusia, Marbella, Malaga, Spain",2025,2.0,,3.0,250.0,1739085.0,Europe
100251,"3 room apartment 218 m² in San Enrique de Guadiaro, Spain",Spain,"San Enrique de Guadiaro, San Roque, Andalusia, Campo de Gibraltar, Spain",2025,,,4.0,218.0,1206490.0,Europe
100265,"3 room apartment 211 m² in Marbella, Spain",Spain,"Andalusia, Marbella, Malaga, Spain",2025,2.0,,4.0,211.0,2608628.0,Europe
100266,"4 room apartment 252 m² in Antequera, Spain",Spain,"Antequera, Andalusia, Malaga, Spain",2025,2.0,,5.0,252.0,1315183.0,Europe
100284,"Penthouse 4 bedrooms 309 m² in San Enrique de Guadiaro, Spain",Spain,"San Enrique de Guadiaro, San Roque, Andalusia, Campo de Gibraltar, Spain",2025,,,5.0,309.0,2972749.0,Europe
100333,"3 room apartment 115 m² in Alicante, Spain",Spain,"Valencian Community, Alicante, Provincia de Alacant/Alicante, Spain",2025,8.0,,4.0,115.0,335861.0,Europe
100345,"2 room apartment 80 m² in Manilva, Spain",Spain,"Manilva, Andalusia, Malaga, Spain",2025,4.0,,3.0,80.0,346730.0,Europe
100352,"3 room apartment 111 m² in Fuengirola, Spain",Spain,"Fuengirola, Andalusia, Malaga, Spain",2025,3.0,,4.0,111.0,1434745.0,Europe
100366,"Penthouse 4 bedrooms 197 m² in Estepona, Spain",Spain,"Estepona, Andalusia, Malaga, Spain",2025,4.0,,5.0,197.0,1195621.0,Europe
100428,"Penthouse 4 bedrooms 195 m² in Benahavis, Spain",Spain,"Benahavis, Andalusia, Malaga, Spain",2025,4.0,,5.0,195.0,1467353.0,Europe
100433,"Penthouse 3 bedrooms 134 m² in Fuengirola, Spain",Spain,"Fuengirola, Andalusia, Malaga, Spain",2025,4.0,1.0,4.0,134.0,1440180.0,Europe
100807,"Duplex 3 bedrooms 122 m² in Igalo, Montenegro",Montenegro,"Igalo, Herceg Novi, Montenegro",2025,2.0,,,122.0,373824.0,Europe
102577,"4 room house 347 m² in Igalo, Montenegro",Montenegro,"Igalo, Herceg Novi, Montenegro",2025,2.0,,,347.0,1181879.0,Europe
103076,"2 room villa 110 m² in Kavac, Montenegro",Montenegro,"Kavac, Prcanj, Kotor Municipality, Montenegro",2025,,,,110.0,298905.0,Europe
103159,"Duplex 2 bedrooms 79 m² in Igalo, Montenegro",Montenegro,"Igalo, Herceg Novi, Montenegro",2025,2.0,,,79.0,242723.0,Europe
104636,"Duplex 3 bedrooms 128 m² in Igalo, Montenegro",Montenegro,"Igalo, Herceg Novi, Montenegro",2025,2.0,,,128.0,392537.0,Europe
107193,"1 room apartment 39 m² in Batumi, Georgia",Georgia,"Abkhazia, Batumi, Georgia",2025,13.0,7.0,1.0,39.0,53268.0,Asia
107200,"1 room apartment 39 m² in Batumi, Georgia",Georgia,"Abkhazia, Batumi, Georgia",2025,,,2.0,39.0,32725.0,Asia
107205,"1 room apartment 39 m² in Batumi, Georgia",Georgia,"Abkhazia, Batumi, Georgia",2025,,,2.0,39.0,57750.0,Asia
107211,"1 room apartment 38 m² in Batumi, Georgia",Georgia,"Abkhazia, Batumi, Georgia",2025,15.0,7.0,1.0,38.0,49530.0,Asia
107216,"1 room studio apartment 35 m² in Adlia, Georgia",Georgia,"Adlia, Abkhazia, Batumi, Georgia",2026,6.0,2.0,1.0,35.0,33630.0,Asia
107222,"1 room apartment 48 m² in Batumi, Georgia",Georgia,"Abkhazia, Batumi, Georgia",2026,,,2.0,48.0,69840.0,Asia
107223,"1 room apartment 39 m² in Batumi, Georgia",Georgia,"Abkhazia, Batumi, Georgia",2025,,,2.0,39.0,54600.0,Asia
107225,"1 room studio apartment 34 m² in Batumi, Georgia",Georgia,"Abkhazia, Batumi, Georgia",2025,15.0,3.0,1.0,34.0,54144.0,Asia
107238,"1 room apartment 27 m² in Batumi, Georgia",Georgia,"Abkhazia, Batumi, Georgia",2025,15.0,5.0,1.0,27.0,37800.0,Asia
107240,"1 room apartment 48 m² in Tbilisi, Georgia",Georgia,"Abkhazia, Tbilisi, Georgia",2025,4.0,,1.0,48.0,72600.0,Asia
107257,"1 room studio apartment 28 m² in Batumi, Georgia",Georgia,"Abkhazia, Batumi, Georgia",2026,,,1.0,28.0,53200.0,Asia
107270,"1 room apartment 38 m² in Batumi, Georgia",Georgia,"Abkhazia, Batumi, Georgia",2025,,,2.0,38.0,47250.0,Asia
107274,"1 room studio apartment 31 m² in Batumi, Georgia",Georgia,"Abkhazia, Batumi, Georgia",2027,38.0,15.0,1.0,31.0,48800.0,Asia
107277,"1 room studio apartment 33 m² in Adlia, Georgia",Georgia,"Adlia, Abkhazia, Batumi, Georgia",2027,38.0,38.0,1.0,33.0,36624.0,Asia
107286,"1 room studio apartment 32 m² in Batumi, Georgia",Georgia,"Abkhazia, Batumi, Georgia",2025,,,1.0,32.0,35314.0,Asia
107302,"1 room apartment 29 m² in Batumi, Georgia",Georgia,"Abkhazia, Batumi, Georgia",2025,7.0,3.0,1.0,29.0,39150.0,Asia
107305,"1 room apartment 27 m² in Batumi, Georgia",Georgia,"Abkhazia, Batumi, Georgia",2025,,,1.0,27.0,37800.0,Asia
107309,"1 room apartment 38 m² in Batumi, Georgia",Georgia,"Abkhazia, Batumi, Georgia",2025,13.0,3.0,1.0,38.0,62322.0,Asia
107311,"1 room studio apartment 35 m² in Batumi, Georgia",Georgia,"Abkhazia, Batumi, Georgia",2025,15.0,3.0,1.0,35.0,56720.0,Asia
107314,"1 room studio apartment 28 m² in Batumi, Georgia",Georgia,"Abkhazia, Batumi, Georgia",2026,39.0,8.0,1.0,28.0,50072.0,Asia
107318,"2 room apartment 63 m² in Batumi, Georgia",Georgia,"Abkhazia, Batumi, Georgia",2026,29.0,15.0,3.0,63.0,63200.0,Asia
107338,"1 room apartment 32 m² in Batumi, Georgia",Georgia,"Abkhazia, Batumi, Georgia",2025,11.0,5.0,1.0,32.0,41667.0,Asia
107342,"2 room apartment 56 m² in Tbilisi, Georgia",Georgia,"Abkhazia, Tbilisi, Georgia",2025,12.0,,3.0,56.0,50670.0,Asia
107346,"1 room apartment 34 m² in Batumi, Georgia",Georgia,"Abkhazia, Batumi, Georgia",2026,8.0,,1.0,34.0,49880.0,Asia
107373,"1 room studio apartment 31 m² in Batumi, Georgia",Georgia,"Abkhazia, Batumi, Georgia",2026,45.0,23.0,1.0,31.0,63960.0,Asia
107404,"1 room apartment 32 m² in Batumi, Georgia",Georgia,"Abkhazia, Batumi, Georgia",2026,38.0,12.0,1.0,32.0,54400.0,Asia
107414,"1 room studio apartment 27 m² in Batumi, Georgia",Georgia,"Abkhazia, Batumi, Georgia",2025,,,1.0,27.0,47520.0,Asia
